Battery Name,RPT Number,Discharge Capacity,Current Cycles,Temperature,Past Cycles,Past Discharge Capacity,Commercial,Residential,Calendar,No Calendar,1C,3C,C/2,C/4,Percent Capacity Decrease,Category
g1,1,4.58842277526855,8,35,220.0,4.6,True,False,False,True,False,True,False,False,0.25167879850976954,True
v4,1,4.55840921401978,8,35,252.0,4.6024,False,True,False,True,False,False,False,True,0.9558227442251963,True
v5,1,4.67888450622559,8,35,37.0,4.7055,True,False,False,True,True,False,False,False,0.5656251997536801,True
w10,1,4.43834257125854,8,35,358.0,4.4591,False,True,False,True,False,True,False,False,0.4655071368989413,True
w8,1,4.42225360870361,8,35,355.0,4.4568,True,False,False,True,False,False,True,False,0.7751389179768127,True
w9,1,4.4433274269104,8,35,349.0,4.4636,False,True,False,True,True,False,False,False,0.4541753985482387,True
g1,2,4.57675933837891,5,20,225.0,4.58842277526855,True,False,False,True,False,True,False,False,0.2541927250580742,True
v4,2,4.55290937423706,5,20,257.0,4.55840921401978,False,True,False,True,False,False,False,True,0.12065261200782373,False
v5,2,4.65298843383789,5,20,42.0,4.67888450622559,True,False,False,True,True,False,False,False,0.5534668007565493,True
w10,2,4.43442678451538,5,20,363.0,4.43834257125854,False,True,False,True,False,True,False,False,0.08822632954286037,False
w8,2,4.41744422912598,5,20,360.0,4.42225360870361,True,False,False,True,False,False,True,False,0.10875404269361862,False
w9,2,4.44013071060181,5,20,354.0,4.4433274269104,False,True,False,True,True,False,False,False,0.07194419860282467,False
g1,3,4.57794141769409,9,35,234.0,4.57675933837891,True,False,False,True,False,True,False,False,-0.025827867007726713,False
v4,3,4.55023145675659,9,35,266.0,4.55290937423706,False,True,False,True,False,False,False,True,0.05881771984355349,False
v5,3,4.64690637588501,9,35,51.0,4.65298843383789,True,False,False,True,True,False,False,False,0.13071293942296247,False
w10,3,4.4309868812561,9,35,372.0,4.43442678451538,False,True,False,True,False,True,False,False,0.07757267007523591,False
w8,3,4.42020511627197,9,35,369.0,4.41744422912598,True,False,False,True,False,False,True,False,-0.06249964918144843,False
w9,3,4.43814182281494,9,35,363.0,4.44013071060181,False,True,False,True,True,False,False,False,0.044793451285603976,False
g1,4,4.56480693817139,10,20,244.0,4.57794141769409,True,False,False,True,False,True,False,False,0.2869079860203975,True
v4,4,4.5462474822998,10,20,276.0,4.55023145675659,False,True,False,True,False,False,False,True,0.08755542426032005,False
v5,4,4.63155746459961,10,20,61.0,4.64690637588501,True,False,False,True,True,False,False,False,0.3303038633412596,True
w10,4,4.42665863037109,10,20,382.0,4.4309868812561,False,True,False,True,False,True,False,False,0.09768141953475586,False
w8,4,4.41117286682129,10,20,379.0,4.42020511627197,True,False,False,True,False,False,True,False,0.20434005239779235,False
w9,4,4.43416833877563,10,20,373.0,4.43814182281494,False,True,False,True,True,False,False,False,0.08953035297076378,False
g1,5,4.54949808120728,10,35,254.0,4.56480693817139,True,False,False,True,False,True,False,False,0.33536701927295515,True
v4,5,4.52975082397461,10,35,286.0,4.5462474822998,False,True,False,True,False,False,False,True,0.3628631830848957,True
v5,5,4.61282920837402,10,35,71.0,4.63155746459961,True,False,False,True,True,False,False,False,0.4043619531601645,True
w10,5,4.40932941436768,10,35,392.0,4.42665863037109,False,True,False,True,False,True,False,False,0.3914739637819611,True
w8,5,4.39819955825806,10,35,389.0,4.41117286682129,True,False,False,True,False,False,True,False,0.29410111448609766,True
w9,5,4.41881942749023,10,35,383.0,4.43416833877563,False,True,False,True,True,False,False,False,0.34615084752597725,True
g1,6,4.53862333297729,10,20,264.0,4.54949808120728,True,False,False,True,False,True,False,False,0.23903182364030046,True
v4,6,4.52517032623291,10,20,296.0,4.52975082397461,False,True,False,True,False,False,False,True,0.10112030263247393,False
v5,6,4.59701728820801,10,20,81.0,4.61282920837402,True,False,False,True,True,False,False,False,0.34278139189080997,True
w10,6,4.40620994567871,10,20,402.0,4.40932941436768,False,True,False,True,False,True,False,False,0.07074700925735938,False
w8,6,4.38618516921997,10,20,399.0,4.39819955825806,True,False,False,True,False,False,True,False,0.2731660735023303,True
w9,6,4.41454410552979,10,20,393.0,4.41881942749023,False,True,False,True,True,False,False,False,0.09675258359377234,False
g1,7,4.52327680587769,10,35,274.0,4.53862333297729,True,False,False,True,False,True,False,False,0.3381317631734917,True
v4,7,4.51145315170288,10,35,306.0,4.52517032623291,False,True,False,True,False,False,False,True,0.3031305683790556,True
v5,7,4.57806777954102,10,35,91.0,4.59701728820801,True,False,False,True,True,False,False,False,0.41221312601102583,True
w10,7,4.39178705215454,10,35,412.0,4.40620994567871,False,True,False,True,False,True,False,False,0.32733105553254094,True
w8,7,4.37280082702637,10,35,409.0,4.38618516921997,True,False,False,True,False,False,True,False,0.30514767793034614,True
w9,7,4.40069723129272,10,35,403.0,4.41454410552979,False,True,False,True,True,False,False,False,0.3136648746973537,True
g1,8,4.51680183410645,10,20,284.0,4.52327680587769,True,False,False,True,False,True,False,False,0.14314781184353895,False
v4,8,4.50616502761841,10,20,316.0,4.51145315170288,False,True,False,True,False,False,False,True,0.11721553802401675,False
v5,8,4.56740665435791,10,20,101.0,4.57806777954102,True,False,False,True,True,False,False,False,0.23287390437410155,True
w10,8,4.38836145401001,10,20,422.0,4.39178705215454,False,True,False,True,False,True,False,False,0.07800009663150262,False
w8,8,4.36430406570435,10,20,419.0,4.37280082702637,True,False,False,True,False,False,True,False,0.19430936047909939,False
w9,8,4.39601469039917,10,20,413.0,4.40069723129272,False,True,False,True,True,False,False,False,0.10640452290726517,False
g1,9,4.50140428543091,10,35,294.0,4.51680183410645,True,False,False,True,False,True,False,False,0.3408949349797154,True
v4,9,4.48624324798584,10,35,326.0,4.50616502761841,False,True,False,True,False,False,False,True,0.44210053361270607,True
v5,9,4.55067205429077,10,35,111.0,4.56740665435791,True,False,False,True,True,False,False,False,0.3663917258423536,True
w10,9,4.36824512481689,10,35,432.0,4.38836145401001,False,True,False,True,False,True,False,False,0.45840182956528613,True
w8,9,4.35371732711792,10,35,429.0,4.36430406570435,True,False,False,True,False,False,True,False,0.24257564154668126,True
w9,9,4.37763786315918,10,35,423.0,4.39601469039917,False,True,False,True,True,False,False,False,0.4180337995713469,True
g1,10,4.49716138839722,10,20,304.0,4.50140428543091,True,False,False,True,False,True,False,False,0.09425718652781409,False
v4,10,4.48465394973755,10,20,336.0,4.48624324798584,False,True,False,True,False,False,False,True,0.03542603823374189,False
v5,10,4.54440593719482,10,20,121.0,4.55067205429077,True,False,False,True,True,False,False,False,0.13769652089171508,False
w10,10,4.36783599853516,10,20,442.0,4.36824512481689,False,True,False,True,False,True,False,False,0.009365918579201472,False
w8,10,4.34943294525146,10,20,439.0,4.35371732711792,True,False,False,True,False,False,True,False,0.09840744229703355,False
w9,10,4.37618494033813,10,20,433.0,4.37763786315918,False,True,False,True,True,False,False,False,0.033189653106683474,False
g1,11,4.47767972946167,10,35,314.0,4.49716138839722,True,False,True,False,False,True,False,False,0.4331990171803386,True
v4,11,4.4634256362915,10,35,346.0,4.48465394973755,False,True,True,False,False,False,False,True,0.47335454828775997,True
v5,11,4.52159833908081,10,35,131.0,4.54440593719482,True,False,True,False,True,False,False,False,0.5018829397993623,True
w10,11,4.34599351882935,10,35,452.0,4.36783599853516,False,True,True,False,False,True,False,False,0.50007554571955,True
w8,11,4.33067560195923,10,35,449.0,4.34943294525146,True,False,True,False,False,False,True,False,0.43125951194876194,True
w9,11,4.3556547164917,10,35,443.0,4.37618494033813,False,True,True,False,True,False,False,False,0.46913519712546536,True
g1,12,4.47392797470093,10,20,324.0,4.47767972946167,True,False,False,True,False,True,False,False,0.08378792114259986,False
v4,12,4.46362447738647,10,20,356.0,4.4634256362915,False,True,False,True,False,False,False,True,-0.0044548987968582995,False
v5,12,4.51613569259644,10,20,141.0,4.52159833908081,True,False,False,True,True,False,False,False,0.12081228969754455,False
w10,12,4.34610319137573,10,20,462.0,4.34599351882935,False,True,False,True,False,True,False,False,-0.00252353221201202,False
w8,12,4.32649898529053,10,20,459.0,4.33067560195923,True,False,False,True,False,False,True,False,0.09644261202133798,False
w9,12,4.3548641204834,10,20,453.0,4.3556547164917,False,True,False,True,True,False,False,False,0.01815102572998912,False
g1,13,4.46492147445679,10,35,334.0,4.47392797470093,True,False,True,False,False,True,False,False,0.20131080104709742,False
v4,13,4.45230627059937,10,35,366.0,4.46362447738647,False,True,True,False,False,False,False,True,0.2535653893924226,True
v5,13,4.50642347335815,10,35,151.0,4.51613569259644,True,False,True,False,True,False,False,False,0.21505596597134868,False
w10,13,4.33328199386597,10,35,472.0,4.34610319137573,False,True,True,False,False,True,False,False,0.29500444295021316,True
w8,13,4.31960678100586,10,35,469.0,4.32649898529053,True,False,True,False,False,False,True,False,0.159302112588082,False
w9,13,4.34400033950806,10,35,463.0,4.3548641204834,False,True,True,False,True,False,False,False,0.24946314453857438,True
g1,14,4.45641708374023,10,20,344.0,4.46492147445679,True,False,False,True,False,True,False,False,0.19047122699049257,False
v4,14,4.44763565063477,10,20,376.0,4.45230627059937,False,True,False,True,False,False,False,True,0.10490338446485287,False
v5,14,4.49615955352783,10,20,161.0,4.50642347335815,True,False,False,True,True,False,False,False,0.22776199110002884,True
w10,14,4.32367658615112,10,20,482.0,4.33328199386597,False,True,False,True,False,True,False,False,0.22166588115998492,True
w8,14,4.30902242660522,10,20,479.0,4.31960678100586,True,False,False,True,False,False,True,False,0.24503050710961774,True
w9,14,4.33900499343872,10,20,473.0,4.34400033950806,False,True,False,True,True,False,False,False,0.11499414546330539,False
g1,15,4.45068216323853,10,35,354.0,4.45641708374023,True,False,True,False,False,True,False,False,0.12868904310201676,False
v4,15,4.43637895584106,10,35,386.0,4.44763565063477,False,True,True,False,False,False,False,True,0.25309390601956094,True
v5,15,4.4885516166687,10,35,171.0,4.49615955352783,True,False,True,False,True,False,False,False,0.16920967257846847,False
w10,15,4.31850385665894,10,35,492.0,4.32367658615112,False,True,True,False,False,True,False,False,0.11963728991083233,False
w8,15,4.30778932571411,10,35,489.0,4.30902242660522,True,False,True,False,False,False,True,False,0.02861672019844193,False
w9,15,4.32850456237793,10,35,483.0,4.33900499343872,False,True,True,False,True,False,False,False,0.24200089828586244,True
g1,16,4.47613382339478,0,20,354.0,4.45068216323853,True,False,True,False,False,True,False,False,-0.5718597559375067,False
v4,16,4.43612957000732,0,20,386.0,4.43637895584106,False,True,True,False,False,False,False,True,0.005621382578507772,False
v5,16,4.51626205444336,0,20,171.0,4.4885516166687,True,False,True,False,True,False,False,False,-0.6173581177445839,False
w10,16,4.32101917266846,0,20,492.0,4.31850385665894,False,True,True,False,False,True,False,False,-0.05824507961573783,False
w8,16,4.34257030487061,0,20,489.0,4.30778932571411,True,False,True,False,False,False,True,False,-0.807397403324355,False
w9,16,4.33187198638916,0,20,483.0,4.32850456237793,False,True,True,False,True,False,False,False,-0.07779647595844333,False
g1,17,4.44267702102661,10,35,364.0,4.47613382339478,True,False,False,True,False,True,False,False,0.7474486619078594,True
v4,17,4.3904447555542,10,35,181.0,4.43612957000732,False,True,False,True,False,False,False,True,-1.606694627158213,False
v5,17,4.4793643951416,10,35,499.0,4.51626205444336,True,False,False,True,True,False,False,False,-0.9746069056817173,False
w10,17,4.27435636520386,10,35,396.0,4.32101917266846,False,True,False,True,False,True,False,False,1.570819465841263,True
w8,17,4.30150365829468,10,35,502.0,4.34257030487061,True,False,False,True,False,False,True,False,4.755224421430286,True
g1,18,4.42174959182739,10,20,374.0,4.44267702102661,True,False,False,True,False,True,False,False,0.47105448134477784,True
v4,18,4.41132831573486,10,20,191.0,4.3904447555542,False,True,False,True,False,False,False,True,-0.47565933164836094,False
v5,18,4.45620203018188,10,20,509.0,4.4793643951416,True,False,False,True,True,False,False,False,0.5170904377603613,True
w10,18,4.29074621200562,10,20,406.0,4.27435636520386,False,True,False,True,False,True,False,False,-0.3834459600791357,False
w8,18,4.28052568435669,10,20,512.0,4.30150365829468,True,False,False,True,False,False,True,False,0.48768931993206116,True
g1,19,4.41771030426025,10,35,384.0,4.42174959182739,True,False,False,True,False,True,False,False,0.09135043681816074,False
v4,19,4.38637924194336,10,35,201.0,4.41132831573486,False,True,False,True,False,False,False,True,0.5655682825172657,True
v5,19,4.45102643966675,10,35,519.0,4.45620203018188,True,False,False,True,True,False,False,False,0.11614353388998522,False
w10,19,4.28032255172729,10,35,416.0,4.29074621200562,False,True,False,True,False,True,False,False,0.24293350767669292,True
