RPT Number,Discharge Capacity,Current Cycles,Temperature,Past Cycles,Past Discharge Capacity,Commercial,Residential,Calendar,No Calendar,1C,3C,C/2,C/4,Percent Capacity Decrease,Category,g1,v4,v5,w10,w8,w9
1,4.58842277526855,8,35,220.0,4.6,True,False,False,True,False,True,False,False,0.2516787985097695,True,True,False,False,False,False,False
1,4.55840921401978,8,35,252.0,4.6024,False,True,False,True,False,False,False,True,0.9558227442251964,True,False,True,False,False,False,False
1,4.67888450622559,8,35,37.0,4.7055,True,False,False,True,True,False,False,False,0.5656251997536801,True,False,False,True,False,False,False
1,4.43834257125854,8,35,358.0,4.4591,False,True,False,True,False,True,False,False,0.4655071368989413,True,False,False,False,True,False,False
1,4.42225360870361,8,35,355.0,4.4568,True,False,False,True,False,False,True,False,0.7751389179768127,True,False,False,False,False,True,False
1,4.4433274269104,8,35,349.0,4.4636,False,True,False,True,True,False,False,False,0.4541753985482387,True,False,False,False,False,False,True
2,4.57675933837891,5,20,225.0,4.58842277526855,True,False,False,True,False,True,False,False,0.2541927250580742,True,True,False,False,False,False,False
2,4.55290937423706,5,20,257.0,4.55840921401978,False,True,False,True,False,False,False,True,0.1206526120078237,False,False,True,False,False,False,False
2,4.65298843383789,5,20,42.0,4.67888450622559,True,False,False,True,True,False,False,False,0.5534668007565493,True,False,False,True,False,False,False
2,4.43442678451538,5,20,363.0,4.43834257125854,False,True,False,True,False,True,False,False,0.0882263295428603,False,False,False,False,True,False,False
2,4.41744422912598,5,20,360.0,4.42225360870361,True,False,False,True,False,False,True,False,0.1087540426936186,False,False,False,False,False,True,False
2,4.44013071060181,5,20,354.0,4.4433274269104,False,True,False,True,True,False,False,False,0.0719441986028246,False,False,False,False,False,False,True
3,4.57794141769409,9,35,234.0,4.57675933837891,True,False,False,True,False,True,False,False,-0.0258278670077267,False,True,False,False,False,False,False
3,4.55023145675659,9,35,266.0,4.55290937423706,False,True,False,True,False,False,False,True,0.0588177198435534,False,False,True,False,False,False,False
3,4.64690637588501,9,35,51.0,4.65298843383789,True,False,False,True,True,False,False,False,0.1307129394229624,False,False,False,True,False,False,False
3,4.4309868812561,9,35,372.0,4.43442678451538,False,True,False,True,False,True,False,False,0.0775726700752359,False,False,False,False,True,False,False
3,4.42020511627197,9,35,369.0,4.41744422912598,True,False,False,True,False,False,True,False,-0.0624996491814484,False,False,False,False,False,True,False
3,4.43814182281494,9,35,363.0,4.44013071060181,False,True,False,True,True,False,False,False,0.0447934512856039,False,False,False,False,False,False,True
4,4.56480693817139,10,20,244.0,4.57794141769409,True,False,False,True,False,True,False,False,0.2869079860203975,True,True,False,False,False,False,False
4,4.5462474822998,10,20,276.0,4.55023145675659,False,True,False,True,False,False,False,True,0.08755542426032,False,False,True,False,False,False,False
4,4.63155746459961,10,20,61.0,4.64690637588501,True,False,False,True,True,False,False,False,0.3303038633412596,True,False,False,True,False,False,False
4,4.42665863037109,10,20,382.0,4.4309868812561,False,True,False,True,False,True,False,False,0.0976814195347558,False,False,False,False,True,False,False
4,4.41117286682129,10,20,379.0,4.42020511627197,True,False,False,True,False,False,True,False,0.2043400523977923,False,False,False,False,False,True,False
4,4.43416833877563,10,20,373.0,4.43814182281494,False,True,False,True,True,False,False,False,0.0895303529707637,False,False,False,False,False,False,True
5,4.54949808120728,10,35,254.0,4.56480693817139,True,False,False,True,False,True,False,False,0.3353670192729551,True,True,False,False,False,False,False
5,4.52975082397461,10,35,286.0,4.5462474822998,False,True,False,True,False,False,False,True,0.3628631830848957,True,False,True,False,False,False,False
5,4.61282920837402,10,35,71.0,4.63155746459961,True,False,False,True,True,False,False,False,0.4043619531601645,True,False,False,True,False,False,False
5,4.40932941436768,10,35,392.0,4.42665863037109,False,True,False,True,False,True,False,False,0.3914739637819611,True,False,False,False,True,False,False
5,4.39819955825806,10,35,389.0,4.41117286682129,True,False,False,True,False,False,True,False,0.2941011144860976,True,False,False,False,False,True,False
5,4.41881942749023,10,35,383.0,4.43416833877563,False,True,False,True,True,False,False,False,0.3461508475259772,True,False,False,False,False,False,True
