Battery Name,Cycle Number,Capacity,Discharge Capacity
g1,1,3.4360384941101074,4.58842277526855
v4,1,3.5561113357543945,4.55840921401978
v5,1,3.5213828086853027,4.67888450622559
w1,1,3.346380710601806,4.43834257125854
w8,1,3.2604005336761475,4.42225360870361
w9,1,3.400594711303711,4.4433274269104
g1,10,3.4997267723083496,4.49716138839722
v4,10,3.734476089477539,4.48465394973755
v5,10,3.5349624156951904,4.54440593719482
w1,10,3.525899887084961,4.36783599853516
w8,10,3.371840238571167,4.34943294525146
w9,10,3.598681926727295,4.37618494033813
g1,11,3.4264211654663086,4.47767972946167
v4,11,3.645150899887085,4.4634256362915
v5,11,3.462754487991333,4.52159833908081
w1,11,3.4152028560638428,4.34599351882935
w8,11,3.294370651245117,4.33067560195923
w9,11,3.495652198791504,4.3556547164917
g1,12,3.4709744453430176,4.47392797470093
v4,12,3.728571653366089,4.46362447738647
v5,12,3.5019872188568115,4.51613569259644
w1,12,3.493799924850464,4.34610319137573
w8,12,3.35252046585083,4.32649898529053
w9,12,3.5797111988067627,4.3548641204834
g1,13,3.410563707351685,4.46492147445679
v4,13,3.6377570629119873,4.45230627059937
v5,13,3.4404399394989014,4.50642347335815
w1,13,3.4022209644317627,4.33328199386597
w8,13,3.284299612045288,4.31960678100586
w9,13,3.487240791320801,4.34400033950806
g1,14,3.45857572555542,4.45641708374023
v4,14,3.716414451599121,4.44763565063477
v5,14,3.4871928691864014,4.49615955352783
w1,14,3.485121011734009,4.32367658615112
w8,14,3.3448023796081543,4.30902242660522
w9,14,3.570646286010742,4.33900499343872
g1,15,3.4011247158050537,4.45068216323853
v4,15,3.627039670944214,4.43637895584106
v5,15,3.4236459732055664,4.4885516166687
w1,15,3.386179208755493,4.31850385665894
w8,15,3.2727649211883545,4.30778932571411
w9,15,3.477370500564575,4.32850456237793
g1,2,3.5503995418548584,4.57675933837891
v4,2,3.777298212051392,4.55290937423706
v5,2,3.608504056930542,4.65298843383789
w1,2,3.5233640670776367,4.43442678451538
w8,2,3.4023630619049072,4.41744422912598
w9,2,3.612427711486816,4.44013071060181
g1,3,3.5250167846679688,4.57794141769409
v4,3,3.7269446849823,4.55023145675659
v5,3,3.587559461593628,4.64690637588501
w1,3,3.482627868652344,4.4309868812561
w8,3,3.377619981765747,4.42020511627197
w9,3,3.5667641162872314,4.43814182281494
g1,5,2.163722038269043,4.54949808120728
v4,5,4.718405723571777,4.52975082397461
v5,5,2.2160372734069824,4.61282920837402
w1,5,4.488381862640381,4.40932941436768
w8,5,2.031524419784546,4.39819955825806
w9,5,4.565987586975098,4.41881942749023
g1,6,3.5306105613708496,4.53862333297729
v4,6,3.784624099731445,4.52517032623291
v5,6,3.5723137855529785,4.59701728820801
w1,6,3.5305111408233643,4.40620994567871
w8,6,3.4021658897399902,4.38618516921997
w9,6,3.6235392093658447,4.41454410552979
g1,7,3.466902732849121,4.52327680587769
v4,7,3.691819906234741,4.51145315170288
v5,7,3.5083789825439453,4.57806777954102
w1,7,3.449033737182617,4.39178705215454
w8,7,3.334294557571411,4.37280082702637
w9,7,3.537052154541016,4.40069723129272
g1,8,3.5166783332824707,4.51680183410645
v4,8,3.755796194076538,4.50616502761841
v5,8,3.5508761405944824,4.56740665435791
w1,8,3.531290292739868,4.38836145401001
w8,8,3.385353803634644,4.36430406570435
w9,8,3.611928701400757,4.39601469039917
g1,9,3.4494009017944336,4.50140428543091
v4,9,3.657254934310913,4.48624324798584
v5,9,3.490318298339844,4.55067205429077
w1,9,3.4427082538604736,4.36824512481689
w8,9,3.312615156173706,4.35371732711792
w9,9,3.520742893218994,4.37763786315918
g1,16,1.7230138778686523,4.47613382339478
v4,16,4.913167953491211,4.43612957000732
v5,16,1.7565176486968994,4.51626205444336
w1,16,4.778102874755859,4.32101917266846
w8,16,1.6349971294403076,4.34257030487061
w9,16,4.786221981048584,4.33187198638916
g1,4,3.5553252696990967,4.56480693817139
v4,4,3.8050332069396973,4.5462474822998
v5,4,3.6013920307159424,4.63155746459961
w1,4,3.543651580810547,4.42665863037109
w8,4,3.422257900238037,4.41117286682129
w9,4,3.6409943103790283,4.43416833877563
